Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
64,Lille,2025-01-04,576,,Nantes,fr Ligue 1,D 1-1,1,1,0,71,1,0,0,0,576,2700,1515,27,20,7,11,10,663,65,Match Report
65,Bayern Munich,2024-11-22,575,,Augsburg,de Bundesliga,W 3-0,3,0,+3,80,1,2,2,0,575,3291,1832,39,22,11,14,5,835,105,Match Report
66,Dortmund,2025-01-17,575,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,575,2907,1681,31,24,6,18,8,665,66,Match Report
67,Barcelona,2024-12-15,573,,Leganés,es La Liga,L 0-1,0,1,-1,79,0,0,0,0,573,3148,1810,42,23,8,29,9,726,100,Match Report
68,Manchester Utd,2025-04-01,572,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,572,3096,2011,37,21,6,20,4,582,66,Match Report
69,Girona,2024-12-20,572,,Valladolid,es La Liga,W 3-0,3,0,+3,70,3,0,0,0,572,3119,1624,40,30,12,15,8,676,60,Match Report
70,Bayern Munich,2024-12-20,571,,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,71,5,0,0,0,571,2924,1341,36,23,16,11,8,663,62,Match Report
71,Inter,2025-03-08,571,,Monza,it Serie A,W 3-2,3,2,+1,69,2,0,0,0,571,2652,1494,41,28,13,8,9,605,84,Match Report
72,Paris S-G,2025-02-15,569,@,Toulouse,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,569,2927,1716,28,26,6,17,10,774,64,Match Report
73,Marseille,2024-10-04,566,,Angers,fr Ligue 1,D 1-1,1,1,0,76,1,0,0,0,566,2884,1740,18,28,6,14,3,694,79,Match Report
74,Paris S-G,2024-11-09,566,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,566,2927,1703,22,24,5,9,5,759,77,Match Report
75,Leverkusen,2025-03-28,565,,Bochum,de Bundesliga,W 3-1,3,1,+2,66,3,0,0,0,565,2754,1417,22,17,4,13,9,639,58,Match Report
76,Lille,2024-09-13,565,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,70,0,0,0,0,565,3095,1561,31,26,5,14,8,632,64,Match Report
77,Atlético Madrid,2025-03-29,565,@,Espanyol,es La Liga,D 1-1,1,1,0,61,1,0,0,0,565,2729,1436,26,25,4,14,5,566,46,Match Report
78,Dortmund,2025-01-14,564,@,Holstein Kiel,de Bundesliga,L 2-4,2,4,-2,75,2,0,0,0,564,3170,1655,26,23,3,19,13,581,57,Match Report
79,Atlético Madrid,2024-12-08,564,,Sevilla,es La Liga,W 4-3,4,3,+1,57,4,0,0,0,564,2618,1316,33,18,4,11,4,600,53,Match Report
